"id","happiness","autonomy","wealth","corruption","outlook"
1,5.40637734699382,6.50451686506952,3.40822738361422,5.3366126027543,"pessimistic"
2,3.99921561539629,4.88807781636676,4.27544080590587,4.11917029246037,"optimistic"
3,4.20916957277888,3.89905927053927,5.52544421155597,4.94428822922507,"pessimistic"
4,6.82260448306379,4.64006204190277,3.5617926559174,4.79483132182255,"optimistic"
5,4.21948862332394,1.88034187941443,1.55493131771284,3.35850799769679,"pessimistic"
6,6.20036990990786,3.90000518614619,4.13225216339793,3.70039035134605,"optimistic"
7,5.58170609383031,6.73853754487599,4.04262790642707,6.55741578748295,"pessimistic"
8,6.8221248048876,4.25717930222676,2.70376563737427,1.78399243515347,"optimistic"
9,7,3.94681442208027,4.79292743223708,3.64475134667245,"optimistic"
10,3.1316998578224,4.69821821077522,1.81180683141722,5.60152450451549,"pessimistic"
11,5.14902964227132,5.00705864592739,3.7787297598666,4.46804968144009,"optimistic"
12,2.56642372158337,1.30308295140781,3.36665120978033,4.39324638737007,"optimistic"
13,2.92001923510929,4.0658270402113,2.85981230640354,4.82257746471899,"pessimistic"
14,2.99526248930731,5.54457359447988,3.22311669757958,5.76394072457945,"optimistic"
15,6.13777996354064,3.91660214043011,1.25448958027319,3.64814539168868,"optimistic"
16,6.47076388301951,4.49688698131415,2.97839735980747,3.35679589578402,"optimistic"
17,4.80898940844472,4.29399436102472,2.11478464057386,4.30493294055578,"optimistic"
18,4.15070526107977,3.27592106560825,3.05651614722651,2.50358652087579,"pessimistic"
19,4.28623646241,5.12873137526648,4.16449518610029,2.9721236151748,"pessimistic"
20,2.13452486330066,5.05080193496697,2.54769571461476,4.44052769874106,"pessimistic"
21,7,4.54013901333215,5.28632280605344,2.98480607448809,"optimistic"
22,3.91690140020462,3.81748959074842,2.59504930675142,5.39788613329591,"pessimistic"
23,4.48403495121881,3.7558547217302,1.90139259139577,3.36102054777396,"optimistic"
24,2.58632777159104,2.0615326772123,3.09589988742686,2.68912075604911,"pessimistic"
25,2.81932956243937,2.0369232865105,1.64620588927027,4.37215655595768,"pessimistic"
26,4.09576694694078,2.51753143359032,3.78082730510536,3.87318932067394,"optimistic"
27,4.82939545910623,2.96209099354195,5.41314715095297,3.47618571360002,"pessimistic"
28,5.94305676474663,4.84218412059301,4.71282833666496,4.53251581676833,"optimistic"
29,4.2244305193346,4.70698370299024,3.6923855162774,3.17812194301028,"pessimistic"
30,4.82814158671183,2.51997213645721,4.52700276665727,3.9759001940537,"pessimistic"
31,2.53365148678422,5.00055081810839,1,4.20392350322158,"optimistic"
32,4.11862212766449,4.41805887038362,4.35284656147172,3.65284571091524,"optimistic"
33,5.59533736183866,5.7673672408908,3.80621578865178,3.61590281254289,"optimistic"
34,4.90358949883991,3.96142175987924,2.70960845152386,4.56314395670705,"optimistic"
35,5.53455276427851,4.44582291244021,2.95948222500529,6.38243504550957,"optimistic"
36,5.92585674695599,5.28279301470439,3.11423204935154,2.62538813659641,"optimistic"
37,3.03926312478528,2.98226853900877,2.92317764491318,4.05305199205676,"optimistic"
38,4.26425500329177,4.31709840506994,1,2.22900627407968,"optimistic"
39,3.04898398141298,2.99193199936592,2.59578639298546,3.54991461741884,"optimistic"
40,4.69556684267303,3.03904107416112,1.52632678541261,3.4148001286919,"optimistic"
41,2.56273772698075,2.90166316579183,3.77279015903839,5.3893729027579,"pessimistic"
42,3.14920232919405,3.93133916771145,4.70286065445537,4.14153357471793,"pessimistic"
43,3.25999895986869,3.18226824230322,3.08102611310916,4.24696803033578,"pessimistic"
44,3.1614315336588,4.11480859946615,3.87809557311147,3.47393639964305,"pessimistic"
45,4.78934032342633,4.54321493904397,3.40857757115329,3.86159359723787,"optimistic"
46,4.07079760200694,3.40482445367041,3.8282902912206,4.23582553726914,"optimistic"
47,5.0886171041978,3.61312885458771,5.11055346466689,2.80285467686967,"pessimistic"
48,5.76365678686876,4.51107518260181,4.54960306695993,3.58358276178871,"optimistic"
49,5.40738193615894,3.55815045967467,2.84715281429515,2.64609610469116,"optimistic"
50,3.58955195780048,3.81338190368298,2.1988851523757,2.73972600322934,"pessimistic"
51,4.96478836028224,3.45303233652517,6.78730475823329,4.6196664466896,"pessimistic"
52,3.85347425083746,4.42234273608044,1.61983512093712,4.62711759454816,"pessimistic"
53,4.7471586260912,5.1533283148846,4.38446212892117,2.815946594708,"optimistic"
54,7,3.88204396589982,5.33374426685493,4.15937945998311,"optimistic"
55,4.58866196497658,3.07111526201882,4.03490318244556,4.90851232953997,"optimistic"
56,3.84984424686317,4.35183529020661,2.07439823556281,4.59258466167928,"optimistic"
57,2.43968528983344,4.57027968142318,1.77256719621107,5.42201835624166,"pessimistic"
58,2.31015938411333,2.01769457120129,2.44393703900249,4.05554920592131,"optimistic"
59,7,4.60851058989311,2.31010247325956,2.47113267199859,"optimistic"
60,3.32556566053309,3.68486790619127,1.5656227664965,2.54430489751924,"pessimistic"
61,4.75526221850061,3.22356147419587,5.60233824698535,3.7903236131789,"pessimistic"
62,2.26210675403868,1.68496177227692,3.13899721003273,1.95929919891965,"pessimistic"
63,4.47737025574286,3.55435942727213,4.71900759407958,5.22941977017164,"pessimistic"
64,4.51979963048345,3.31504683183318,1.87775697093799,4.76331273971068,"optimistic"
65,5.33632883275831,3.58907907958249,3.9622899410754,4.22489763961508,"optimistic"
66,3.84960376831361,2.23103914007634,3.10157863372921,4.76654805746261,"optimistic"
67,2.3443145707431,2.69821046839783,2.9036646512032,4.52246235682779,"pessimistic"
68,3.41392961881255,4.52058867957278,1.07634313321625,4.402149766945,"pessimistic"
69,3.00571667680466,3.74631740435976,1,4.0979182002016,"pessimistic"
70,5.37058195322949,4.69658233176934,3.57719076788303,3.34461768178955,"pessimistic"
71,1,1.63737056382415,1.8469435772945,5.82863822808707,"pessimistic"
72,6.96020388022972,6.46419606566245,4.03725272484724,4.58202123717098,"optimistic"
73,4.16786455715638,2.79292039196837,1.73471483185877,4.2884393528496,"optimistic"
74,5.5732752019788,4.65133136117634,4.57974253339211,2.78287146052729,"optimistic"
75,3.09297953258341,4.25274139459879,1,5.32384855721337,"pessimistic"
76,4.70364598098422,4.42304719622301,1.52998169281379,3.39485091726528,"pessimistic"
77,4.82399617032992,2.17211288346228,3.34724827505702,3.94244525106086,"optimistic"
78,4.57202302514831,5.11509859234068,2.40731552012969,3.60852442692024,"pessimistic"
79,5.46833975786192,4.98123827667417,2.18136100796948,2.5203414465766,"optimistic"
80,4.59750264874861,4.65241333961271,2.50516367611469,4.2197998125406,"optimistic"
81,5.81849002486303,4.998133328892,2.15026136084356,4.4479340654782,"optimistic"
